"gid","Y"
"X006dfe9b.0",0.312894745
"X02cc7c6d.0",0.398403787
"X02d095ba.0",0.399532615
"X07dac217.0",0.320282567
"X07f246bb.0",0.551531342
"X08de34ee.0",0.349540006
"X014ab0f1.0",0.323871142
"X024bbd20.0",0.273520543
"X068b860d.0",0.381595794
"X084e8b29.0",0.347042508
"X092f15e7.0",0.351526681
"X044639de.0",0.377335518
"X0491646d.0",0.338086732
"X0764178c.0",0.367020833
"X06334433.0",0.407510343
"X09869491.0",0.336607595
"X0bca95e0.0",0.27986709
"X0be20a08.0",0.332954718
"X0c85e164.0",0.363236702
"X0d125c0e.0",0.412079613
"X0defa551.0",0.422650651
"X0e787735.0",0.321673447
"X0f847952.0",0.346287839
"X1a946dc6.0",0.266625228
"X1a95985b.0",0.417299101
"X1ab838a2.0",0.339388187
"X1ce7093b.0",0.342222829
"X1d0066e2.0",0.480133833
"X1e4f3933.0",0.373718226
"X1e26852c.0",0.336230305
"X1eb5d579.0",0.324622003
"X1f10be3d.0",0.312705972
"X1f856ac1.0",0.357830742
"X1fbe21f5.0",0.381673801
"X2a9d8d47.0",0.286454753
"X2a7724c1.0",0.397209595
"X2b4e06fe.0",0.348186143
"X2b28e441.0",0.355036129
"X2b81cf74.0",0.342057161
"X2c583eed.0",0.350401357
"X2db62b89.0",0.291798094
"X2e1c9c87.0",0.297045884
"X3aa51818.0",0.295617198
"X3afe3c0b.0",0.346766441
"X3b25c24f.0",0.403261602
"X3c10a4b8.0",0.370952452
"X3e58f34c.0",0.419096641
"X3ea144c5.0",0.302281724
"X3eb8fab5.0",0.457720802
"X3f0623af.0",0.358424465
"X3fb62843.0",0.42151951
"X4ab486ec.0",0.215808183
"X4b0a7350.0",0.522270583
"X4c188d7c.0",0.317215286
"X4e35b58a.0",0.361229058
"X4ef132dc.0",0.261715229
"X4f4f777a.0",0.277079205
"X4f643bf5.0",0.438929184
"X5aa7968d.0",0.354821981
"X5ae0bd70.0",0.373058969
"X5b144b9c.0",0.374433996
"X5c592759.0",0.301860901
"X5df8f871.0",0.364919877
"X5ef1be74.0",0.381801387
"X5efe8622.0",0.234215609
"X6ab77e3e.0",0.26940314
"X6b37cb3d.0",0.324416466
"X6c91b63d.0",0.31064941
"X6cedf6aa.0",0.387540528
"X6d9c7d8b.0",0.351856047
"X6e26f4cc.0",0.420535029
"X6f068769.0",0.341002969
"X6f263bd1.0",0.387619258
"X7a723d9e.0",0.334531761
"X7b7a0d82.0",0.376623629
"X7bee5b9f.0",0.395270952
"X7cfe4a0c.0",0.467938641
"X7d4c6c4e.0",0.369698237
"X7dba928e.0",0.359541546
"X7e956f22.0",0.406859475
"X7eb7c6a8.0",0.373880736
"X7f7fb805.0",0.244668159
"X7fc911f7.0",0.303861369
"X8a06320f.0",0.30195964
"X8a41a10a.0",0.335427804
"X8c76404c.0",0.272321723
"X8cd35626.0",0.358209974
"X8cfa8fb2.0",0.352316744
"X8d6aded4.0",0.34284783
"X8e6220e5.0",0.406755304
"X8e941960.0",0.376820627
"X8fafd383.0",0.503467479
"X9a60fd42.0",0.287623415
