"NSFTV.ID","HDRA.ID","Na.K.Shoot.LSMEAN","Na.Shoot.LSMEAN","K.Shoot.Salt.LSMEAN","Na.K.Root.LSMEAN","Na.Root.LSMEAN","Shoot.BM.Control.LSMEAN","Shoot.BM.Salt.LSMEAN","Root.BM.Control.LSMEAN","Root.BM.Salt.LSMEAN","Flowering.time.at.Arkansas","Flowering.time.at.Faridpur","Flowering.time.at.Aberdeen","Panicle.number.per.plant","Plant.height","Panicle.fertility"
"NSFTV_1","86f75d2b.0",217.9371447,0.194966101,0.89606665,500.9474211,0.293376918,2.302995531,1.756398034,0.872838082,0.325207826,75.08333333,64,81,3.068052935,110.9166667,0.879
"NSFTV_10","2e1c9c87.0",137.4868364,0.125044726,0.910901121,427.0096533,0.297045884,1.867723117,1.114535401,0.531911785,0.223791525,89,55,74,3.650658241,83,0.537
"NSFTV_100","1f10be3d.0",165.0295554,0.166773265,1.020647976,454.0930731,0.312705972,2.099448816,1.474579135,0.556368332,0.303297666,84.11111111,78,122,2.978925155,114.8888889,0.735
"NSFTV_101","9f782e9e.0",146.2631636,0.157455274,1.101098879,466.6072066,0.306818637,1.79931508,1.239412468,0.529368332,0.315296541,86.16666667,79,88,2.818398258,86.16666667,0.73
"NSFTV_102","6e26f4cc.0",187.6631636,0.153705274,0.833848879,522.5942998,0.420535029,2.33031508,1.967579135,0.657868332,0.411629875,NA,NA,165,3.481240089,105.5,0.765
"NSFTV_103","8c76404c.0",119.3381636,0.110205274,0.942098879,383.7196031,0.272321723,1.195727883,1.136518072,0.256368332,0.21997329,84,78,108,2.957511061,95.08333333,0.889
"NSFTV_104","8629f76c.0",124.8381636,0.112205274,0.896598879,412.3150846,0.285515704,1.436809243,NA,0.509701665,0.214839098,77.5,70,74,3.139110856,110.3333333,0.873
"NSFTV_105","16463092.0",162.5132435,0.172110041,1.061351632,456.7573856,0.320587757,2.18681508,1.915442579,0.847368332,0.427429154,80.5,80,81,3.727699446,131.1111111,0.929
"NSFTV_106","8a06320f.0",109.2381636,0.098955274,0.912598879,403.4032124,0.30195964,2.631364554,2.05335371,0.851555245,0.612359565,102.8333333,75,108,3.493979115,93.83333333,0.826
"NSFTV_107","7b7a0d82.0",200.5131636,0.182705274,0.928098879,550.2194015,0.376623629,2.139531221,1.81485371,0.648721911,0.391192898,81.41666667,46,74,3.012261576,114.25,0.65
"NSFTV_108","e3b049a9.0",188.2628887,0.181439932,0.973981309,581.6839083,0.379724561,1.893273027,1.12610649,0.931388578,0.293359565,102.1666667,74,119,2.47793798,112.7777778,0.845
"NSFTV_11","1d0066e2.0",171.1112863,0.159611913,0.94641844,662.9899922,0.480133833,2.367685724,1.567601409,0.801121771,0.390532343,NA,NA,NA,NA,NA,NA
"NSFTV_110","11bf5114.0",160.9132435,0.157110041,0.972351632,542.6732925,0.460296987,2.08387416,1.469521221,0.628666115,0.318843598,150.5,72,145,3.601868077,143.4444444,0.745
"NSFTV_112","531e23fa.0",145.8881636,0.133955274,0.902598879,412.1719608,0.34624105,1.612864554,1.04190319,0.580221911,0.204531316,97,78,178,3.438011355,151.4285714,0.845
"NSFTV_113","7a723d9e.0",144.8295554,0.131106599,0.908314642,455.125139,0.334531761,3.221443557,2.210689823,0.801221911,0.334359565,59,53,49,3.325689829,90.90909091,0.852
"NSFTV_114","eac19fb8.0",180.4381636,0.157455274,0.882098879,472.0473376,0.313044067,2.616031221,1.792020377,1.041721911,0.449359565,84.58333333,80,122,3.028522096,108.8333333,0.621
"NSFTV_115","0bca95e0.0",282.9131636,0.253705274,0.924098879,504.4102059,0.27986709,2.227031221,1.508100508,0.697388578,0.22717162,105,65,108,2.890371758,123.3333333,0.886
"NSFTV_116","6cedf6aa.0",374.4881636,0.302705274,0.824098879,547.0590314,0.387540528,2.039031221,1.36885371,0.612055245,0.279026231,91.08333333,80,111,2.696876901,136.0833333,0.818
"NSFTV_117","5b144b9c.0",254.0881636,0.224955274,0.896848879,604.3977104,0.374433996,2.543031221,2.166624355,0.806388578,0.474329306,82.75,77,77,3.928552307,135.0833333,0.917
"NSFTV_118","71bd9426.0",118.7462648,0.111789435,0.941737609,433.7082628,0.291678594,2.675031221,1.688950562,0.947388578,0.329159528,73.33333333,65,85,3.17805383,106.8888889,0.909
"NSFTV_119","3aa51818.0",173.6289721,0.156066498,0.913051291,519.9500614,0.295617198,2.123414164,1.433299891,0.841911588,0.436541042,114,NA,149,3.648491393,90.91666667,0.717
"NSFTV_120","8e6220e5.0",246.3128553,0.197533899,0.80743335,584.3840064,0.406755304,2.279914164,1.871799891,0.857244922,0.497041042,92.91666667,79,114,2.978925155,135.0833333,0.894
"NSFTV_121","280279b3.0",213.1128553,0.190283899,0.91168335,481.3637247,0.382445384,2.274747497,1.761367847,0.774911588,0.387374375,84.16666667,66,126,2.803360381,113.6666667,0.714
"NSFTV_122","b6dc1bcc.0",236.0878553,0.153783899,0.66743335,419.4052216,0.28114643,2.652840255,1.857633225,0.893878618,0.491541042,107.1111111,76,149,3.355735008,160.1666667,0.783
"NSFTV_123","714ac141.0",209.9628553,0.191033899,0.91568335,639.6260529,0.456868582,2.511354331,1.693867847,0.745411588,0.321207708,92,80,88,3.789855371,132.1111111,0.874
"NSFTV_124","6c91b63d.0",171.3124577,0.160910903,0.963659809,421.4421988,0.31064941,2.070421622,1.217990931,0.503471778,0.14619901,NA,NA,NA,NA,NA,NA
"NSFTV_125","63f298ba.0",296.2878553,0.244033899,0.84693335,582.9256889,0.415388072,2.798414164,2.084201181,0.844911588,0.412707708,92.75,80,88,3.801091445,153.0833333,0.852
